,market_hash_name,avg_index_share,std_index_share,quantity
0,'Medium Rare' Crasswater | Guerrilla Warfare,0.00017788241254669706,1.877041721325402e-05,236
1,AK-47 | Aquamarine Revenge (Battle-Scarred),0.000443173225100565,3.241410999490274e-05,249
2,AK-47 | Aquamarine Revenge (Field-Tested),0.000654427420542997,2.4815927839109067e-05,230
3,AK-47 | Aquamarine Revenge (Minimal Wear),0.0012578126772077342,3.9275932085427225e-05,258
4,AK-47 | Aquamarine Revenge (Well-Worn),0.0004143080951716626,1.8542476901254083e-05,209
5,AK-47 | Asiimov (Battle-Scarred),0.0008212619820986224,3.1252872851614654e-05,350
6,AK-47 | Asiimov (Field-Tested),0.004820734265925878,0.00019454655193814333,1547
7,AK-47 | Asiimov (Minimal Wear),0.005372389629972826,0.00017571280603059892,1026
8,AK-47 | Asiimov (Well-Worn),0.00034459932293272,9.93955790357793e-06,110
9,AK-47 | Black Laminate (Field-Tested),0.0007126575641019641,6.027694680733709e-05,274
10,AK-47 | Black Laminate (Minimal Wear),0.0009401957797590504,4.3390108807958076e-05,284
11,AK-47 | Bloodsport (Factory New),0.0017846249727641603,7.913843817132544e-05,187
12,AK-47 | Bloodsport (Field-Tested),0.0034180258606232423,0.00014156801396315028,484
13,AK-47 | Bloodsport (Minimal Wear),0.003516726779248759,0.00014268042535781335,442
14,AK-47 | Cartel (Factory New),0.0005675120126641998,0.00011407499125691205,363
15,AK-47 | Cartel (Minimal Wear),0.000323361845427075,2.978284186682502e-05,391
16,AK-47 | Case Hardened (Battle-Scarred),0.003130980183180944,0.00013278397787489332,250
17,AK-47 | Case Hardened (Field-Tested),0.0074755434459979455,0.0003647041186275891,415
18,AK-47 | Case Hardened (Minimal Wear),0.006742225339993298,0.000229786858901694,317
19,AK-47 | Case Hardened (Well-Worn),0.0032977903484183524,0.00013304805180416039,233
20,AK-47 | Frontside Misty (Field-Tested),0.0014518236481703749,6.913993496275986e-05,1010
21,AK-47 | Frontside Misty (Minimal Wear),0.0013047531664420087,6.654861897522718e-05,533
22,AK-47 | Fuel Injector (Battle-Scarred),0.001372380658734672,6.607280641559046e-05,185
23,AK-47 | Fuel Injector (Field-Tested),0.0013550994661010508,0.00011742238798063434,105
24,AK-47 | Fuel Injector (Well-Worn),0.0015545362892021135,8.838348814045933e-05,164
