,id,rank,name,symbol,slug,is_active,first_historical_data,last_historical_data,platform,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address
0,1,1,Bitcoin,BTC,bitcoin,1,2010-07-13T00:00:00.000Z,2023-06-26T12:29:00.000Z,,,,,,
0,2,11,Litecoin,LTC,litecoin,1,2013-04-28T18:47:22.000Z,2023-06-26T12:29:00.000Z,,,,,,
0,3,535,Namecoin,NMC,namecoin,1,2013-04-28T18:47:22.000Z,2023-06-26T12:29:00.000Z,,,,,,
0,4,1901,Terracoin,TRC,terracoin,1,2013-04-28T18:47:22.000Z,2023-06-26T12:29:00.000Z,,,,,,
0,5,761,Peercoin,PPC,peercoin,1,2013-04-28T18:47:23.000Z,2023-06-26T12:29:00.000Z,,,,,,
0,6,2227,Novacoin,NVC,novacoin,1,2013-04-28T18:47:23.000Z,2023-06-26T12:29:00.000Z,,,,,,
0,8,1528,Feathercoin,FTC,feathercoin,1,2013-05-03T03:25:15.000Z,2023-06-26T12:29:00.000Z,,,,,,
0,10,2272,Freicoin,FRC,freicoin,1,2013-05-03T03:25:15.000Z,2023-06-26T12:29:00.000Z,,,,,,
0,13,1634,Ixcoin,IXC,ixcoin,1,2013-05-08T05:20:18.000Z,2023-06-26T12:29:00.000Z,,,,,,
0,16,5800,WorldCoin,WDC,worldcoin,1,2013-05-22T03:20:20.000Z,2023-06-26T12:29:00.000Z,,,,,,
0,18,2355,Digitalcoin,DGC,digitalcoin,1,2013-06-09T17:55:21.000Z,2023-06-26T12:29:00.000Z,,,,,,
0,25,1489,Goldcoin,GLC,goldcoin,1,2013-06-14T06:45:28.000Z,2023-06-26T12:29:00.000Z,,,,,,
0,35,1421,Phoenixcoin,PXC,phoenixcoin,1,2013-07-04T05:15:49.000Z,2023-06-26T12:29:00.000Z,,,,,,
0,42,1276,Primecoin,XPM,primecoin,1,2013-07-11T03:21:19.000Z,2023-06-26T12:29:00.000Z,,,,,,
0,43,2373,Anoncoin,ANC,anoncoin,1,2013-07-15T01:31:35.000Z,2023-06-26T12:29:00.000Z,,,,,,
0,45,5082,CasinoCoin,CSC,casinocoin,1,2013-07-25T03:06:28.000Z,2023-06-26T12:29:00.000Z,,,,,,
0,52,6,XRP,XRP,xrp,1,2013-08-04T18:51:05.000Z,2023-06-26T12:29:00.000Z,,,,,,
0,53,1781,Quark,QRK,quark,1,2013-08-25T17:46:22.000Z,2023-06-26T12:29:00.000Z,,,,,,
0,56,2262,Zetacoin,ZET,zetacoin,1,2013-09-11T01:47:21.000Z,2023-06-26T12:29:00.000Z,,,,,,
0,61,2100,TagCoin,TAG,tagcoin,1,2013-11-05T13:32:08.000Z,2023-06-26T12:29:00.000Z,,,,,,
0,64,2317,Public Index Network,PIN,public-index-network,1,2013-11-27T06:01:46.000Z,2023-06-26T12:29:00.000Z,,,,,,
0,66,1224,Nxt,NXT,nxt,1,2013-12-04T05:46:40.000Z,2023-06-26T12:29:00.000Z,,,,,,
0,67,7779,Unobtanium,UNO,unobtanium,1,2013-12-21T18:17:35.000Z,2023-06-26T12:29:00.000Z,,,,,,
0,69,2472,Datacoin,DTC,datacoin,1,2013-12-07T19:47:06.000Z,2023-06-26T12:29:00.000Z,,,,,,
0,72,1868,Deutsche eMark,DEM,deutsche-emark,1,2013-12-15T01:52:15.000Z,2023-06-26T12:29:00.000Z,,,,,,
0,74,8,Dogecoin,DOGE,dogecoin,1,2013-12-15T14:42:34.000Z,2023-06-26T12:29:00.000Z,,,,,,
0,77,682,Diamond,DMD,diamond,1,2013-12-19T12:31:59.000Z,2023-06-26T12:29:00.000Z,,,,,,
0,78,8725,HoboNickels,HBN,hobonickels,1,2013-12-20T13:32:39.000Z,2023-06-26T12:29:00.000Z,,,,,,
0,83,1571,Omni,OMNI,omni,1,2013-12-24T23:37:41.000Z,2023-06-26T12:29:00.000Z,,,,,,
0,87,1526,FedoraCoin,TIPS,fedoracoin,1,2013-12-31T16:17:26.000Z,2023-06-26T12:29:00.000Z,,,,,,
0,90,797,Dimecoin,DIME,dimecoin,1,2014-01-06T07:42:29.000Z,2023-06-26T12:29:00.000Z,,,,,,
0,93,1267,42-coin,42,42-coin,1,2014-01-14T04:32:01.000Z,2023-06-26T12:29:00.000Z,,,,,,
0,99,899,Vertcoin,VTC,vertcoin,1,2014-01-20T05:27:57.000Z,2023-06-26T12:29:00.000Z,,,,,,
0,109,182,DigiByte,DGB,digibyte,1,2014-02-06T13:13:38.000Z,2023-06-26T12:29:00.000Z,,,,,,
0,118,1257,ReddCoin,RDD,redd,1,2014-02-10T00:58:17.000Z,2023-06-26T12:29:00.000Z,,,,,,
0,120,1420,KatKoyn,KAT,nyancoin,1,2014-02-10T00:58:19.000Z,2023-06-26T12:29:00.000Z,,,,,,
0,122,1458,PotCoin,POT,potcoin,1,2014-02-10T04:23:33.000Z,2023-06-26T12:29:00.000Z,,,,,,
0,128,2046,Maxcoin,MAX,maxcoin,1,2014-02-12T13:33:59.000Z,2023-06-26T12:29:00.000Z,,,,,,
0,131,90,Dash,DASH,dash,1,2014-02-14T13:44:09.000Z,2023-06-26T12:29:00.000Z,,,,,,
0,132,744,Counterparty,XCP,counterparty,1,2014-02-15T13:59:36.000Z,2023-06-26T12:29:00.000Z,,,,,,
0,141,8726,MintCoin,MINT,mintcoin,1,2014-02-19T13:39:53.000Z,2023-06-26T12:29:00.000Z,,,,,,
0,145,1930,DopeCoin,DOPE,dopecoin,1,2014-02-22T17:52:34.000Z,2023-06-26T12:29:00.000Z,,,,,,
0,148,7395,Auroracoin,AUR,auroracoin,1,2014-02-27T05:33:27.000Z,2023-06-26T12:29:00.000Z,,,,,,
0,154,4362,Marscoin,MARS,marscoin,1,2014-02-24T13:41:14.000Z,2023-06-26T12:29:00.000Z,,,,,,
0,162,2809,Magic Internet Money,MIM,magic-internet-money,1,2014-03-12T05:27:57.000Z,2023-06-26T12:30:00.000Z,,,,,,
0,168,8727,Uniform Fiscal Object,UFO,uniform-fiscal-object,1,2014-02-27T05:33:35.000Z,2023-06-26T12:29:00.000Z,,,,,,
0,170,1398,BlackCoin,BLK,blackcoin,1,2014-02-28T05:13:44.000Z,2023-06-26T12:29:00.000Z,,,,,,
0,182,2134,Myriad,XMY,myriad,1,2014-03-08T15:56:28.000Z,2023-06-26T12:29:00.000Z,,,,,,
0,184,2570,DNotes,NOTE,dnotes,1,2014-03-08T15:56:28.000Z,2023-06-26T12:29:00.000Z,,,,,,
0,201,1247,Einsteinium,EMC2,einsteinium,1,2014-04-09T04:10:24.000Z,2023-06-26T12:29:00.000Z,,,,,,
0,213,512,MonaCoin,MONA,monacoin,1,2014-03-20T05:09:55.000Z,2023-06-26T12:29:00.000Z,,,,,,
0,215,7350,Rubycoin,RBY,rubycoin,1,2014-03-20T05:09:56.000Z,2023-06-26T12:29:00.000Z,,,,,,
0,217,2444,Bela,BELA,belacoin,1,2014-03-20T05:10:07.000Z,2023-06-26T12:29:00.000Z,,1027.0,Ethereum,ETH,ethereum,0x2e98a6804e4b6c832ed0ca876a943abd3400b224
0,254,2002,MUNT,MUNT,gulden,1,2014-04-08T04:11:00.000Z,2023-06-26T12:29:00.000Z,,,,,,
0,258,491,Groestlcoin,GRS,groestlcoin,1,2014-04-11T20:45:53.000Z,2023-06-26T12:29:00.000Z,,,,,,
0,260,1573,PetroDollar,XPD,petrodollar,1,2014-04-15T04:36:55.000Z,2023-06-26T12:29:00.000Z,,,,,,
0,263,2537,PLNcoin,PLNC,plncoin,1,2014-04-15T04:36:58.000Z,2023-06-26T12:29:00.000Z,,,,,,
0,268,700,WhiteCoin,XWC,whitecoin,1,2014-04-18T12:12:07.000Z,2023-06-26T12:29:00.000Z,,,,,,
0,276,2008,Bitstar,BITS,bitstar,1,2014-04-23T12:01:13.000Z,2023-06-26T12:29:00.000Z,,,,,,
0,278,2525,Quebecoin,QBC,quebecoin,1,2014-04-23T12:01:15.000Z,2023-06-26T12:29:00.000Z,,,,,,
